,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2006-09,2.487B,2.487B,,,,,,,1.299B,1.299B,,,953.00M,,460.00M,96.00M,364.00M,,,,,364.00M,364.00M,14.00M,460.00M,,1.31,0.00,,1.31,1.31,,1.29,0.00,,1.29,1.29,,277.86M,282.17M,0.38,,AOR,Restated
2006-06,2.496B,2.496B,,,,,,,95.00M,95.00M,,,979.00M,,505.00M,156.00M,349.00M,,,,,349.00M,349.00M,35.00M,505.00M,,1.25,0.00,,1.25,1.25,,1.23,0.00,,1.23,1.23,,279.20M,283.74M,0.38,,AOR,Restated
2006-03,1.422B,1.422B,,,,,,,22.00M,22.00M,,,667.00M,,315.00M,94.00M,221.00M,,,,,221.00M,221.00M,-5.00M,315.00M,,1.27,0.00,,1.27,1.27,,1.24,0.00,,1.24,1.24,,174.02M,178.23M,0.00,,AOR,Restated
2005-12,1.387B,1.387B,,,,,22.00M,-22.00M,,,22.00M,-22.00M,6.045B,-22.00M,296.00M,71.00M,225.00M,,,,,225.00M,225.00M,-1.00M,318.00M,,1.30,0.00,,1.30,1.30,,1.28,0.00,,1.28,1.28,,172.81M,175.82M,0.38,,AOR,Restated
2005-09,1.395B,1.395B,,,,,,,21.00M,21.00M,,,637.00M,,303.00M,74.00M,229.00M,,,,,229.00M,229.00M,-6.00M,303.00M,,1.33,0.00,,1.33,1.33,,1.30,0.00,,1.30,1.30,,172.18M,176.15M,0.365,,AOR,Restated
2005-06,1.375B,1.375B,,,,,,,22.00M,22.00M,,,607.00M,,238.00M,40.00M,198.00M,,,,,198.00M,198.00M,-6.00M,238.00M,,1.15,0.00,,1.15,1.15,,1.13,0.00,,1.13,1.13,,172.17M,175.22M,0.365,,AOR,Restated
2005-03,1.313B,1.313B,,212.00M,212.00M,-2.00M,22.00M,-22.00M,-214.00M,-4.00M,22.00M,-22.00M,572.00M,-22.00M,238.00M,59.00M,179.00M,,,,,179.00M,180.50M,14.00M,260.00M,,1.03,0.00,,1.039,1.03,,1.01,0.00,,1.018,1.01,,173.79M,177.23M,0.365,,AOR,Restated
2004-12,1.347B,1.347B,,193.10M,193.10M,-134.47M,28.57M,-28.57M,-327.57M,-268.94M,28.57M,-28.57M,6.748B,-28.57M,249.07M,59.20M,189.87M,,0.00,,0.013M,189.87M,292.38M,113.74M,277.64M,,1.09,0.00,0.00,1.679,1.09,,1.08,0.00,-0.0006,1.658,1.07,,173.93M,177.26M,0.365,,AOR,
2004-09,1.406B,1.406B,,264.60M,264.60M,105.81M,24.42M,-24.42M,-158.79M,211.62M,24.42M,-24.42M,588.85M,-24.42M,318.39M,118.71M,199.68M,,0.00,,0.014M,199.68M,133.32M,64.59M,342.80M,,1.14,0.00,0.00,0.7611,1.14,,1.12,0.00,0.00,0.7478,1.12,,175.14M,178.27M,0.35,,AOR,Restated
2004-06,1.359B,1.359B,,252.30M,252.30M,,24.66M,-24.66M,-252.30M,0.00,24.66M,-24.66M,587.86M,-24.66M,259.58M,72.57M,187.00M,,0.00,,0.014M,187.00M,187.00M,13.25M,284.24M,,1.05,0.00,0.00,1.05,1.05,,1.04,0.00,0.00,1.04,1.04,,178.08M,179.80M,0.35,,AOR,Restated
